id,labels,miner,rust,phoma,healthy,num_dis
0,3,0,0,0,1,0
1,3,0,0,0,1,0
2,3,0,0,0,1,0
3,3,0,0,0,1,0
4,3,0,0,0,1,0
5,3,0,0,0,1,0
6,3,0,0,0,1,0
7,3,0,0,0,1,0
8,3,0,0,0,1,0
9,3,0,0,0,1,0
10,3,0,0,0,1,0
11,3,0,0,0,1,0
12,3,0,0,0,1,0
13,3,0,0,0,1,0
14,3,0,0,0,1,0
15,3,0,0,0,1,0
16,2,0,0,1,0,1
17,2,0,0,1,0,1
18,2,0,0,1,0,1
19,2,0,0,1,0,1
20,0,1,0,0,0,1
21,0,1,0,0,0,1
22,0,1,0,0,0,1
23,0,1,0,0,0,1
24,0,1,0,0,0,1
25,0,1,0,0,0,1
26,0,1,0,0,0,1
27,0,1,0,0,0,1
28,0,1,0,0,0,1
29,0,1,0,0,0,1
30,0,1,0,0,0,1
31,0,1,0,0,0,1
32,0,1,0,0,0,1
33,0,1,0,0,0,1
34,0,1,0,0,0,1
35,0,1,0,0,0,1
36,0,1,0,0,0,1
37,0,1,0,0,0,1
38,0,1,0,0,0,1
39,0,1,0,0,0,1
40,0,1,0,0,0,1
41,0,1,0,0,0,1
42,0,1,0,0,0,1
43,0,1,0,0,0,1
44,0,1,1,0,0,2
45,0,1,1,0,0,2
46,0,1,1,0,0,2
47,0,1,1,0,0,2
48,0,1,1,0,0,2
49,0,1,1,0,0,2
50,0,1,1,0,0,2
51,0,1,1,0,0,2
52,0,1,0,0,0,1
53,0,1,0,0,0,1
54,0,1,0,0,0,1
55,0,1,0,0,0,1
56,0,1,0,0,0,1
57,0,1,0,0,0,1
58,0,1,0,0,0,1
59,0,1,0,0,0,1
60,0,1,0,0,0,1
61,0,1,0,0,0,1
62,0,1,0,0,0,1
63,0,1,0,0,0,1
100,0,1,0,0,0,1
101,0,1,0,0,0,1
102,0,1,0,0,0,1
103,0,1,0,0,0,1
104,0,1,0,0,0,1
105,0,1,0,0,0,1
106,0,1,0,0,0,1
107,0,1,0,0,0,1
108,0,1,0,0,0,1
109,0,1,0,0,0,1
110,0,1,0,0,0,1
111,0,1,0,0,0,1
112,0,1,0,0,0,1
113,0,1,0,0,0,1
114,0,1,0,0,0,1
115,0,1,0,0,0,1
116,0,1,0,0,0,1
117,0,1,0,0,0,1
118,0,1,0,0,0,1
119,0,1,0,0,0,1
120,0,1,0,0,0,1
121,0,1,0,0,0,1
122,0,1,0,0,0,1
123,0,1,0,0,0,1
124,0,1,0,0,0,1
125,0,1,0,0,0,1
126,0,1,0,0,0,1
127,0,1,0,0,0,1
128,1,0,1,0,0,1
129,1,0,1,0,0,1
130,1,0,1,0,0,1
131,1,0,1,0,0,1
132,1,0,1,0,0,1
133,1,0,1,0,0,1
134,1,0,1,0,0,1
135,1,0,1,0,0,1
136,1,0,1,0,0,1
137,1,0,1,0,0,1
138,1,0,1,0,0,1
139,1,0,1,0,0,1
140,1,0,1,0,0,1
141,1,0,1,0,0,1
142,1,0,1,0,0,1
143,1,0,1,0,0,1
144,1,0,1,0,0,1
145,1,0,1,0,0,1
146,1,0,1,0,0,1
147,1,0,1,0,0,1
148,1,0,1,0,0,1
149,1,0,1,0,0,1
150,1,0,1,0,0,1
151,1,0,1,0,0,1
152,1,0,1,0,0,1
153,1,0,1,0,0,1
154,1,0,1,0,0,1
155,1,0,1,0,0,1
156,1,0,1,0,0,1
157,1,0,1,0,0,1
158,1,0,1,0,0,1
159,1,0,1,0,0,1
160,1,0,1,0,0,1
161,1,0,1,0,0,1
162,1,0,1,0,0,1
163,1,0,1,0,0,1
164,1,0,1,0,0,1
165,1,0,1,0,0,1
166,1,0,1,0,0,1
167,1,0,1,0,0,1
168,1,0,1,0,0,1
169,1,0,1,0,0,1
170,1,0,1,0,0,1
171,1,0,1,0,0,1
172,1,0,1,0,0,1
173,1,0,1,0,0,1
174,1,0,1,0,0,1
175,1,0,1,0,0,1
176,1,0,1,0,0,1
177,1,0,1,0,0,1
178,1,0,1,0,0,1
179,1,0,1,0,0,1
180,1,0,1,0,0,1
181,1,0,1,0,0,1
182,1,0,1,0,0,1
183,1,0,1,0,0,1
184,1,0,1,0,0,1
185,1,0,1,0,0,1
186,1,0,1,0,0,1
