id,predominant_stress,miner,rust,phoma,cercospora,severity
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,3,0,0,1,0,2
21,1,1,0,0,0,3
22,1,1,0,0,0,1
23,1,1,0,0,0,1
24,1,1,0,0,0,1
25,1,1,0,0,0,1
26,1,1,0,0,0,2
27,1,1,0,0,0,1
28,1,1,0,0,0,2
29,1,1,1,0,0,1
30,1,1,0,0,0,1
31,1,1,0,0,0,3
32,1,1,0,0,0,1
33,1,1,0,0,0,1
34,1,1,0,0,0,1
35,1,1,1,0,0,2
36,1,1,0,0,0,1
37,1,1,1,0,0,2
38,1,1,0,0,0,1
39,1,1,0,0,0,1
40,1,1,1,0,0,2
41,1,1,0,0,0,1
42,1,1,0,0,0,2
43,1,1,0,0,0,1
44,1,1,0,0,0,1
45,1,1,1,0,0,1
46,1,1,0,0,0,1
47,1,1,0,0,0,2
48,1,1,0,0,0,2
49,1,1,0,0,0,2
50,1,1,0,0,0,1
51,1,1,0,0,0,1
52,1,1,0,0,0,1
53,1,1,0,0,0,2
54,1,1,0,0,1,2
55,4,1,0,0,1,2
56,1,1,0,0,0,3
57,1,1,0,0,0,1
58,1,1,0,0,1,1
59,1,1,0,0,0,1
60,1,1,0,0,0,2
61,1,1,0,0,1,3
62,4,0,0,0,1,1
63,1,1,0,0,0,1
64,1,1,0,0,0,1
65,1,1,0,0,0,1
66,1,1,0,0,0,1
67,1,1,0,0,0,1
68,1,1,0,0,0,1
69,1,1,0,0,0,1
70,1,1,0,0,0,2
71,1,1,0,0,1,2
72,1,1,0,0,0,2
73,1,1,0,0,0,3
74,1,1,0,0,0,3
75,1,1,0,0,0,1
76,1,1,0,0,0,1
77,1,1,0,0,0,1
78,1,1,0,0,0,1
79,1,1,0,0,0,2
80,1,1,0,0,0,1
81,1,1,0,0,0,1
82,1,1,0,0,0,2
83,1,1,0,0,0,1
84,1,1,1,0,0,1
85,1,1,0,0,0,1
86,1,1,0,0,0,1
87,1,1,0,0,0,1
88,1,1,0,0,0,3
89,1,1,0,0,0,1
90,2,0,1,0,1,4
91,2,0,1,0,0,2
92,2,0,1,0,0,1
93,2,0,1,0,0,1
94,2,1,1,0,0,3
95,2,0,1,0,0,1
96,2,0,1,0,0,3
97,2,0,1,0,0,1
98,2,0,1,0,0,2
99,2,0,1,0,0,2
100,2,1,1,0,0,4
101,2,0,1,0,0,1
102,2,0,1,0,0,1
103,2,0,1,0,0,1
104,2,0,1,0,0,1
105,2,0,1,0,0,2
106,2,0,1,0,0,2
107,2,0,1,0,0,1
108,2,0,1,0,0,1
109,2,0,1,0,0,1
110,2,0,1,0,0,2
111,2,0,1,0,0,1
112,2,0,1,0,0,2
113,2,0,1,0,0,1
114,2,0,1,0,0,1
115,2,0,1,0,0,1
116,2,0,1,0,0,1
117,2,0,1,0,1,4
118,2,0,1,0,0,1
119,2,0,1,0,0,2
120,2,0,1,0,0,1
121,2,0,1,0,1,1
122,2,0,1,0,0,3
123,2,0,1,0,0,2
124,2,0,1,0,0,4
125,2,0,1,0,0,1
126,2,0,1,0,0,4
127,2,0,1,0,0,2
128,2,0,1,0,0,1
129,2,0,1,0,0,4
130,2,0,1,0,0,2
131,2,0,1,0,0,2
132,2,0,1,0,0,3
133,2,0,1,0,0,2
134,2,0,1,0,0,1
135,2,0,1,0,0,3
136,2,0,1,0,0,1
137,1,1,0,0,0,1
138,2,0,1,0,0,3
139,2,0,1,0,0,4
140,2,0,1,0,0,2
141,2,1,1,0,0,3
142,2,1,1,0,0,1
143,2,0,1,0,0,3
144,2,0,1,0,0,1
145,2,0,1,0,0,1
146,2,0,1,0,0,2
147,2,0,1,0,0,1
148,2,0,1,0,0,1
149,2,0,1,0,0,3
150,2,0,1,0,0,2
151,2,0,1,0,0,1
152,2,0,1,0,0,1
153,2,0,1,0,0,3
154,2,0,1,0,1,3
155,2,0,1,0,0,1
156,2,0,1,0,1,1
157,2,0,1,0,1,1
158,2,0,1,0,0,1
159,2,0,1,0,1,1
160,2,0,1,0,0,1
161,2,0,1,0,0,2
162,2,0,1,0,0,1
163,2,0,1,0,0,1
164,2,0,1,0,0,1
165,2,0,1,0,0,2
166,2,0,1,0,0,1
167,2,0,1,0,0,1
168,2,0,1,0,0,1
169,2,0,1,0,0,1
170,0,0,0,0,0,0
171,2,0,1,0,1,1
172,2,0,1,0,0,1
173,2,0,1,0,0,1
174,0,0,0,0,0,0
175,0,0,0,0,0,0
