id,predominant_stress,miner,rust,phoma,cercospora,severity
563,3,0,0,1,0,1
564,3,0,0,1,0,1
565,0,0,0,0,0,0
566,4,0,0,0,1,1
567,4,0,0,0,1,1
568,0,0,0,0,0,0
569,4,0,0,0,1,1
570,2,0,1,0,1,2
571,0,0,0,0,0,0
572,2,0,1,0,0,1
573,0,0,0,0,0,0
574,3,0,0,1,0,1
575,1,1,0,0,0,1
576,1,1,0,0,0,1
577,4,0,0,0,1,1
578,0,0,0,0,0,0
579,4,0,0,0,1,1
580,1,1,0,0,0,1
581,0,0,0,0,0,0
582,0,0,0,0,0,0
583,0,0,0,0,0,0
584,1,1,0,0,0,1
585,1,1,0,0,0,1
586,2,0,1,0,0,1
587,0,0,0,0,0,0
588,1,1,0,0,0,1
589,2,1,1,0,0,3
590,2,0,1,0,0,2
591,3,0,0,1,0,1
592,3,0,0,1,0,1
593,2,0,1,0,0,2
594,4,0,1,0,1,1
595,3,0,0,1,0,1
596,2,1,1,0,0,4
597,2,0,1,0,0,2
598,2,0,1,0,0,4
599,2,0,1,0,0,1
600,0,0,0,0,0,0
601,0,0,0,0,0,0
602,0,0,0,0,0,0
603,0,0,0,0,0,0
604,4,0,1,0,1,1
605,2,0,1,0,1,3
606,2,1,1,0,0,1
607,1,1,0,0,0,1
609,2,0,1,0,0,1
610,3,0,0,1,0,1
611,4,0,0,0,1,1
612,0,0,0,0,0,0
613,0,0,0,0,0,0
614,0,0,0,0,0,0
615,2,0,1,0,1,1
616,0,0,0,0,0,0
617,3,1,0,1,0,1
618,0,0,0,0,0,0
619,2,0,1,0,0,1
620,1,1,0,0,0,1
621,2,1,1,0,0,1
622,1,1,0,0,0,1
623,1,1,1,0,0,1
624,0,0,0,0,0,0
625,0,0,0,0,0,0
626,0,0,0,0,0,0
627,0,0,0,0,0,0
628,3,0,0,1,0,2
629,0,0,0,0,0,0
630,0,0,0,0,0,0
631,0,0,0,0,0,0
632,1,1,1,0,0,1
633,0,0,0,0,0,0
634,4,0,0,0,1,1
635,0,0,0,0,0,0
636,2,0,1,0,1,1
637,2,0,1,0,0,1
638,2,0,1,0,0,1
640,3,0,0,1,0,1
641,2,0,1,0,0,1
642,0,0,0,0,0,0
643,0,0,0,0,0,0
644,1,1,1,0,0,1
645,3,0,0,1,0,1
646,3,0,0,1,0,1
647,3,0,0,1,0,1
648,4,0,1,0,1,1
649,0,0,0,0,0,0
650,2,0,1,0,0,1
651,3,0,0,1,0,1
652,4,0,0,1,1,1
653,4,0,0,0,1,1
654,3,0,0,1,0,1
655,3,0,0,1,0,1
656,0,0,0,0,0,0
657,3,0,0,1,0,1
658,3,0,0,1,0,1
659,4,0,0,0,1,1
660,1,1,0,1,0,1
661,3,0,0,1,0,1
662,1,1,0,0,0,1
663,1,1,1,0,0,2
664,2,0,1,0,0,4
665,2,0,1,0,0,1
666,3,0,0,1,0,1
667,0,0,0,0,0,0
669,3,0,1,1,0,2
670,3,0,0,1,0,2
673,3,0,0,1,0,1
674,0,0,0,0,0,0
676,1,1,1,0,0,2
677,3,0,0,1,0,1
678,1,1,0,0,0,1
679,4,0,0,0,1,1
680,1,1,0,0,0,1
681,2,0,1,0,0,1
682,4,0,1,0,1,4
683,3,0,0,1,0,1
684,0,0,0,0,0,0
685,0,0,0,0,0,0
686,1,1,0,0,0,3
687,0,0,0,0,0,0
688,1,1,0,0,0,2
689,1,1,0,0,0,1
690,1,1,0,0,0,1
691,2,0,1,0,0,1
692,4,0,0,0,1,1
693,0,0,0,0,0,0
694,0,0,0,0,0,0
695,1,1,0,0,0,2
696,0,0,0,0,0,0
697,1,1,0,0,0,1
698,1,1,0,0,0,2
699,1,1,0,0,0,2
700,1,1,0,0,0,1
701,0,0,0,0,0,0
702,2,0,1,0,0,2
703,0,0,0,0,0,0
704,1,1,0,0,0,1
705,1,1,0,0,0,1
706,2,0,1,0,0,4
707,0,0,0,0,0,0
708,0,0,0,0,0,0
709,1,1,0,0,0,2
711,2,1,1,0,0,1
712,2,1,1,0,0,1
713,2,0,1,0,0,1
714,1,1,0,0,0,1
715,2,0,1,0,0,3
716,4,0,0,0,1,1
717,1,1,0,0,0,2
718,1,1,0,0,0,1
719,1,1,0,0,0,1
720,2,0,1,0,1,1
721,1,1,0,0,0,2
722,2,0,1,0,0,1
723,2,1,1,0,0,3
724,1,1,0,0,0,1
725,2,0,1,1,0,1
726,2,0,1,0,0,1
727,0,0,0,0,0,0
728,1,1,0,0,0,1
729,1,1,0,0,0,1
730,1,1,0,0,0,1
731,1,1,0,0,0,1
732,1,1,0,0,0,1
